"Warehouses","Dépots"
"Weeks for sales history range #2","Nb de semaine pour les statistiques de vente (2)"
"Weeks for sales history range #3","Nb de semaine pour les statistiques de vente (3)"
"Frontend","Site web"
"Display stocks","Afficher les stocks"
"Stock discrepencies","Erreurs de stock"
"Stock discrepencies report","Rapport d'erreur de stock"
"Inventory Management","Gestion de stock"
"Quantity to ship","Qte à expédier"
"Quantity reserved","Qte réservée"
"Changes successfully saved","Modifications enregistrées"
"Qty on hand","Qte en stock"
"On hand","En stock"
"Available","Disponible"
"Warning<br>Stock level","Seuil<br>d'alerte"
"Ideal<br>Stock level","Stock<br>idéal"
"To ship","A expédier"
"Period","Période"
"Qty shipped","Qte expédiée"
"Qty invoiced","Qte facturée"
"Sales History","Historique de ventes"
"New Stock Movement","Nouveau mouvement de stock"
"Stock movements","Mouvements de stock"
"Qty reserved","Qte réservée"
"Shipping warehouse","Dépôt"
"Avg sales per week","Ventes par semaine"
"Figures","Données"
"Skus in stock","Skus en stock"
"Total products","Produits au total"
"Total value","Valeur globale"
"Stock Take","Inventaire"
"Stock Takes","Inventaires"
"Label","Intitulé"
"Manager","Gestionnaire"
"Status","Statut"
"New Stock Take","Créer un nouvel inventaire"
"Create new Stock Take","Créer un nouvel inventaire"
"Use bin locations","Utiliser les emplacements"
"Product Selection","Sélection des produits"
"Stock Take successfully saved","Inventaire enregistré"
"Scan Products","Scanner les produits"
"Created at","Date de création"
"Apply","Appliquer"
"Products","Produits"
"Add Products","Ajouter des produits"
"Locationt","Emplacement"
"Scanned Qty","Qté scannée"
"Qty","Qté"
"Not Scanned","Non scanné"
"Match","Correspond"
"Expected Qty","Qté attendue"
"Print","Imprimer"
"Delete","Supprimer"
"Save","Enregistrer"
"Different","Différent"
"Edit Stock Take %1","Edition d'inventaire %1"
"Scan successfully processed","Scan enregistré"
"missing","manquant(s)"
"over","en trop"
"Barcode scan enabled","Lecteur code barre activé"
"Unknown barcode","Code barre inconnu"
"scanned","scanné"
"Location","Emplacement"
"Apply Stock Take","Appliquer l'inventaire"
"Stock Movement message","Mouvement de stock"
"Create stock movements","Créer les mouvements de stock"
"Return to stock (Credit Memo #%1)","Retour en stock (Avoir #%1)"
"Disable logs","Désactiver les logs"
"Barcode","Code barre"
"Children products","Produits enfants"
"Backorder qty","Qté en attente client"
"Download","Télécharger"
"Stock movement created.","Mouvement de stock créé."
"Stock settings per website","Réglages par sites web"
"Index status","Statut d'index"
"Qty sellable","Qte vendable"
"Users", "Utilisateurs"
"Warehouse to decrease","Dépôt à décrémenter"
"Warehouse to increase","Dépôt à incrémenter"
"Reserved","Réservé"
"Creditmemo","Remboursement"
"Adjustment","Ajustement"
"Defective","Défectueux"
"Product return","Retour"
"Add products with scanner","Ajouter des produits"
